month,platform,spend,impressions,clicks,conversions,attributed_revenue
2025-10,Meta Ads,4544.54,220109,5176,170,14739.27
2025-10,TikTok Ads,2843.44,245259,5640,126,7691.7
2025-10,Pinterest Ads,1801.87,129316,2523,43,3022.6
2025-10,Email/Affiliate,1288.36,421162,7885,803,8520.34
2025-11,Google Ads,7252.31,187236,5041,247,30493.17
2025-11,Meta Ads,5706.12,288053,6001,167,16561.96
2025-11,TikTok Ads,4122.67,366807,7178,140,9051.7
2025-11,Pinterest Ads,2755.92,199179,4195,70,5030.71
2025-11,Email/Affiliate,1802.0,517000,10954,981,12081.69
2025-12,Google Ads,7598.25,312981,5853,247,31078.42
2025-12,Meta Ads,6417.08,236288,6190,192,20912.14
2025-12,TikTok Ads,4675.46,320295,7767,150,10201.39
2025-12,Pinterest Ads,3013.76,172678,4266,79,4684.12
2025-12,Email/Affiliate,1964.98,510679,14050,1160,13826.78
