CustomerID,Channel,Recency,Frequency,Monetary,Segment
C100102,Organic Search,63,2,1240.9099999999999,Loyal Regulars
C100103,Organic Search,251,3,830.09,Champions
C100104,Email,20,4,3139.01,Loyal Regulars
C100106,Social,255,1,32.64,Hibernating / Lost
C100107,Organic Search,145,1,198.04000000000002,Hibernating / Lost
C100108,Email,394,1,1160.5500000000002,At Risk
C100109,Paid Ads,145,1,945.89,At Risk
C100110,Email,401,3,1029.48,Champions
C100111,Paid Ads,25,5,2918.24,Loyal Regulars
C100114,Paid Ads,343,3,1542.0199999999998,Champions
C100115,Organic Search,232,1,790.0999999999999,At Risk
C100116,Email,413,4,1297.68,Champions
C100117,Referral,203,4,3670.02,Champions
C100118,Organic Search,462,2,1966.08,At Risk
C100119,Paid Ads,184,1,420.6,At Risk
C100120,Referral,43,3,353.38,Loyal Regulars
C100121,Email,22,5,2123.5,Loyal Regulars
C100122,Social,308,1,298.4,Hibernating / Lost
C100123,Paid Ads,262,2,411.5,At Risk
C100124,Email,150,1,32.05,Hibernating / Lost
C100125,Organic Search,374,1,58.150000000000006,Hibernating / Lost
C100128,Email,100,2,731.26,At Risk
C100131,Email,1,2,3329.9,Loyal Regulars
C100132,Paid Ads,390,5,2220.93,Champions
C100133,Social,13,4,2563.77,Loyal Regulars
C100135,Email,219,4,4285.93,Champions
C100136,Paid Ads,258,1,239.4,Hibernating / Lost
C100138,Paid Ads,499,2,325.21999999999997,At Risk
C100140,Organic Search,150,1,268.88,Hibernating / Lost
C100141,Email,525,2,956.6800000000001,At Risk
C100142,Email,282,5,6410.796,Champions
C100143,Email,404,3,2064.77,Champions
C100144,Organic Search,24,2,423.32,Loyal Regulars
C100145,Paid Ads,170,1,830.14,At Risk
C100146,Organic Search,224,2,502.58,At Risk
C100148,Referral,32,2,474.54,Loyal Regulars
C100150,Email,164,1,283.3,Hibernating / Lost
C100151,Organic Search,498,2,1327.61,At Risk
C100152,Organic Search,56,1,1194.71,At Risk
C100154,Organic Search,344,2,1137.1922,At Risk
C100155,Email,294,1,247.09,Hibernating / Lost
C100156,Social,388,2,427.69,At Risk
C100157,Organic Search,371,1,103.42,Hibernating / Lost
C100159,Email,43,4,3136.77,Loyal Regulars
C100160,Social,111,3,568.34,Champions
C100161,Email,234,4,1549.8400000000001,Champions
C100162,Organic Search,406,1,1047.65,At Risk
C100163,Email,170,1,362.29999999999995,Hibernating / Lost
C100167,Email,460,4,2088.2735,Champions
C100168,Organic Search,106,4,914.5999999999999,Champions
C100169,Paid Ads,185,4,1947.02,Champions
C100170,Referral,397,2,1960.79,At Risk
C100171,Email,446,2,3354.72,At Risk
C100172,Paid Ads,39,2,1331.6999999999998,Loyal Regulars
C100173,Social,35,3,1734.5192,Loyal Regulars
C100174,Referral,314,1,72.30000000000001,Hibernating / Lost
C100176,Paid Ads,124,3,1314.94,Champions
C100178,Email,158,2,747.12,At Risk
C100179,Paid Ads,367,1,149.68,Hibernating / Lost
C100180,Organic Search,99,3,540.24,Champions
C100181,Social,441,2,320.7,At Risk
C100182,Social,412,3,3158.68,Champions
C100183,Referral,124,3,775.259,Champions
C100185,Email,375,3,523.06,At Risk
C100186,Referral,99,2,981.21,At Risk
C100188,Paid Ads,471,1,179.95000000000002,Hibernating / Lost
C100189,Paid Ads,184,2,721.0,At Risk
C100190,Organic Search,40,3,4714.67,Loyal Regulars
C100191,Email,158,2,982.81,At Risk
C100194,Paid Ads,92,3,2077.96,Champions
C100195,Paid Ads,245,1,192.59,Hibernating / Lost
C100196,Organic Search,372,6,3052.9300000000003,Champions
C100197,Referral,48,2,288.08,Loyal Regulars
C100198,Referral,21,1,634.28,Loyal Regulars
C100200,Organic Search,383,3,1099.81,Champions
C100202,Referral,338,2,598.73,At Risk
C100204,Organic Search,382,2,301.86,At Risk
C100205,Referral,249,1,1021.02,At Risk
C100207,Paid Ads,36,3,1083.92,Loyal Regulars
C100208,Social,6,4,482.1,Loyal Regulars
C100210,Organic Search,192,2,1666.8,At Risk
C100211,Paid Ads,217,1,71.61,Hibernating / Lost
C100212,Email,40,4,4882.36,Loyal Regulars
C100213,Social,107,5,4417.32,Champions
C100215,Organic Search,462,1,648.29,At Risk
C100216,Organic Search,26,2,1868.25,Loyal Regulars
C100217,Referral,496,3,2097.8199999999997,Champions
C100218,Organic Search,58,7,4135.54,Champions
C100219,Referral,110,1,96.9,Hibernating / Lost
C100220,Email,141,3,1705.36,Champions
C100221,Organic Search,386,4,854.79,Champions
C100222,Referral,164,2,414.36,At Risk
C100223,Organic Search,1,2,6107.0199999999995,Loyal Regulars
C100224,Paid Ads,227,2,4525.78,Champions
C100225,Paid Ads,28,4,2728.04,Loyal Regulars
C100226,Paid Ads,93,2,1873.7800000000002,At Risk
C100227,Email,38,1,606.5799999999999,At Risk
C100228,Email,398,1,266.55,Hibernating / Lost
C100229,Social,588,1,105.58,Hibernating / Lost
C100230,Social,172,2,1293.15,At Risk
C100231,Paid Ads,40,2,896.82,Loyal Regulars
C100232,Organic Search,376,4,3169.7699999999995,Champions
C100233,Email,23,6,3958.66,Loyal Regulars
C100234,Social,136,10,4198.71,Champions
C100235,Organic Search,250,1,662.5899999999999,At Risk
C100236,Paid Ads,272,1,20.38,Hibernating / Lost
C100237,Paid Ads,346,1,21.64,Hibernating / Lost
C100238,Organic Search,305,3,3228.38,Champions
C100240,Paid Ads,651,1,1044.24,At Risk
C100241,Referral,34,4,1979.9,Loyal Regulars
C100242,Referral,280,3,2952.25,Champions
C100243,Referral,94,1,823.6,At Risk
C100244,Paid Ads,14,2,662.61,Loyal Regulars
C100245,Paid Ads,3,5,7674.7699999999995,Loyal Regulars
C100246,Email,14,5,3613.02,Loyal Regulars
C100247,Referral,408,1,327.17,Hibernating / Lost
C100248,Paid Ads,167,1,1779.0,At Risk
C100250,Organic Search,284,4,727.59,Champions
C100251,Referral,194,1,563.7,At Risk
C100252,Organic Search,559,1,65.18,Hibernating / Lost
C100253,Organic Search,531,1,845.1100000000001,At Risk
C100255,Organic Search,445,3,4280.62,Champions
C100256,Organic Search,210,1,240.99,Hibernating / Lost
C100257,Organic Search,45,5,4538.45,Champions
C100258,Paid Ads,168,1,1127.82,At Risk
C100259,Referral,115,1,461.91999999999996,At Risk
C100260,Organic Search,92,2,1681.12,At Risk
C100261,Email,202,2,1177.44,At Risk
C100263,Organic Search,31,1,525.9000000000001,Loyal Regulars
C100265,Referral,317,4,1772.11,Champions
C100267,Paid Ads,509,1,322.16999999999996,Hibernating / Lost
C100268,Referral,24,7,3771.98,Loyal Regulars
C100269,Organic Search,255,2,517.85,At Risk
C100271,Email,642,3,763.61,At Risk
C100274,Paid Ads,460,1,1010.6299999999999,At Risk
C100275,Referral,268,1,2961.67,At Risk
C100276,Paid Ads,117,6,2963.89,Champions
C100278,Organic Search,155,2,2626.91,At Risk
C100279,Organic Search,566,3,1257.0183,Champions
C100281,Organic Search,203,4,2123.58,Champions
C100282,Organic Search,303,1,42.83,Hibernating / Lost
C100283,Organic Search,157,2,474.65,At Risk
C100284,Organic Search,372,1,166.43,Hibernating / Lost
C100285,Referral,27,4,3386.4300000000003,Loyal Regulars
C100286,Paid Ads,452,1,651.22,At Risk
C100288,Organic Search,400,1,902.74,At Risk
C100290,Paid Ads,197,2,959.4,At Risk
C100292,Referral,46,1,454.42999999999995,At Risk
C100293,Social,140,1,56.6,Hibernating / Lost
C100295,Organic Search,308,2,1580.49,At Risk
C100296,Organic Search,21,6,5323.42,Loyal Regulars
C100297,Email,53,8,2410.7,Champions
C100298,Organic Search,191,2,504.29999999999995,At Risk
C100300,Paid Ads,172,4,2561.4,Champions
C100301,Paid Ads,207,1,175.34,Hibernating / Lost
C100302,Referral,17,5,1617.72,Loyal Regulars
C100303,Email,36,2,660.05,Loyal Regulars
C100304,Organic Search,385,1,344.36,Hibernating / Lost
C100305,Organic Search,551,2,3352.5699999999997,At Risk
C100306,Email,140,5,2030.4799999999998,Champions
C100307,Paid Ads,6,5,1384.59,Loyal Regulars
C100308,Organic Search,413,1,477.5,At Risk
C100310,Referral,164,4,4768.48,Champions
C100312,Paid Ads,254,2,341.2,At Risk
C100313,Paid Ads,525,1,1875.6,At Risk
C100314,Organic Search,339,5,1586.74,Champions
C100315,Paid Ads,256,1,685.54,At Risk
C100318,Email,5,4,1408.5700000000002,Loyal Regulars
C100319,Organic Search,11,2,819.1299999999999,Loyal Regulars
C100320,Organic Search,37,1,6.32,Hibernating / Lost
C100321,Organic Search,615,1,284.63,Hibernating / Lost
C100323,Email,13,2,509.58000000000004,Loyal Regulars
C100324,Organic Search,7,2,1288.16,Loyal Regulars
C100325,Referral,563,1,317.65,Hibernating / Lost
C100326,Paid Ads,211,2,388.11,At Risk
C100327,Paid Ads,374,2,1298.5700000000002,At Risk
C100328,Social,603,1,359.25000000000006,At Risk
C100329,Organic Search,368,1,56.72,Hibernating / Lost
C100330,Organic Search,175,3,1101.8500000000001,Champions
C100332,Organic Search,378,4,1859.26,Champions
C100333,Email,192,2,654.39,At Risk
C100335,Organic Search,6,5,2760.61,Loyal Regulars
C100338,Organic Search,295,2,334.35,At Risk
C100340,Referral,148,1,63.239999999999995,Hibernating / Lost
C100342,Paid Ads,46,1,234.0,Hibernating / Lost
C100343,Organic Search,196,1,31.82,Hibernating / Lost
C100344,Paid Ads,157,1,145.1,Hibernating / Lost
C100345,Organic Search,543,2,301.65999999999997,At Risk
C100346,Email,56,1,400.34000000000003,Hibernating / Lost
C100347,Organic Search,80,2,614.1899999999999,At Risk
C100348,Referral,131,4,1738.1100000000001,Champions
C100349,Social,391,4,2198.08,Champions
C100350,Organic Search,198,4,2611.62,Champions
C100351,Organic Search,264,6,2093.44,Champions
C100352,Organic Search,163,5,4965.85,Champions
C100355,Referral,6,4,3083.46,Loyal Regulars
C100356,Referral,401,3,736.45,At Risk
C100357,Referral,4,4,2081.55,Loyal Regulars
C100358,Paid Ads,652,2,2113.9700000000003,At Risk
C100360,Organic Search,123,3,825.2199999999999,Champions
C100361,Paid Ads,166,1,430.41,At Risk
C100365,Referral,329,1,36.24,Hibernating / Lost
C100366,Organic Search,286,3,1653.56,Champions
C100367,Social,72,1,120.12,Hibernating / Lost
C100368,Paid Ads,440,1,33.25,Hibernating / Lost
C100369,Paid Ads,179,1,749.8299999999999,At Risk
C100371,Paid Ads,20,2,2778.2000000000003,Loyal Regulars
C100372,Paid Ads,410,3,880.9,Champions
C100373,Paid Ads,374,1,61.04,Hibernating / Lost
C100374,Organic Search,1,2,604.14,Loyal Regulars
C100375,Paid Ads,403,8,4667.42,Champions
C100376,Organic Search,296,1,35.34,Hibernating / Lost
C100377,Organic Search,185,2,3716.95,Champions
C100379,Paid Ads,513,2,1956.22,At Risk
C100381,Paid Ads,69,1,86.52000000000001,Hibernating / Lost
C100382,Paid Ads,71,2,666.08,At Risk
C100383,Email,125,2,1236.42,At Risk
C100384,Social,490,3,929.32,Champions
C100385,Social,332,10,3989.24,Champions
C100386,Paid Ads,424,1,542.9100000000001,At Risk
C100387,Paid Ads,128,1,558.4,At Risk
C100389,Paid Ads,203,7,4685.73,Champions
C100390,Paid Ads,248,3,723.67,Champions
C100391,Email,180,5,3494.81,Champions
C100393,Paid Ads,377,1,666.74,At Risk
C100395,Paid Ads,56,4,2270.0299999999997,Loyal Regulars
C100396,Organic Search,650,2,533.24,At Risk
C100397,Organic Search,619,2,2204.44,At Risk
C100398,Email,438,2,586.64,At Risk
C100399,Paid Ads,464,1,539.0799999999999,At Risk
C100400,Organic Search,23,2,1271.6999999999998,Loyal Regulars
C100401,Paid Ads,218,1,777.1200000000001,At Risk
C100403,Organic Search,32,2,1323.945,Loyal Regulars
C100404,Referral,220,5,1270.73,Champions
C100405,Social,379,2,252.01999999999998,Hibernating / Lost
C100406,Paid Ads,132,4,1972.9299999999998,Champions
C100407,Email,367,2,1737.81,At Risk
C100408,Organic Search,145,1,802.1000000000001,At Risk
C100409,Social,377,2,2649.8199999999997,At Risk
C100410,Paid Ads,343,5,4817.35,Champions
C100411,Social,133,4,2834.29,Champions
C100413,Organic Search,386,8,4290.0084,Champions
C100414,Organic Search,536,2,1037.76,At Risk
C100415,Email,240,2,1786.2500000000002,At Risk
C100416,Paid Ads,31,1,900.7800000000001,Loyal Regulars
C100418,Email,23,1,477.99,Loyal Regulars
C100420,Paid Ads,102,3,1887.7299999999998,Champions
C100423,Referral,53,5,3738.11,Champions
C100424,Paid Ads,404,1,220.22000000000003,Hibernating / Lost
C100425,Referral,15,2,387.81,Loyal Regulars
C100426,Paid Ads,54,1,206.13,Hibernating / Lost
C100427,Paid Ads,217,1,3501.89,At Risk
C100428,Organic Search,290,3,2693.2200000000003,Champions
C100432,Paid Ads,187,3,2211.66,Champions
C100433,Social,23,2,463.96,Loyal Regulars
C100434,Social,327,1,2301.79,At Risk
C100436,Organic Search,372,2,264.81,At Risk
C100437,Paid Ads,99,3,4839.52,Champions
C100439,Paid Ads,388,4,2810.83,Champions
C100440,Organic Search,76,3,1153.15,Loyal Regulars
C100441,Referral,6,4,1574.12,Loyal Regulars
C100442,Paid Ads,67,8,3929.06,Champions
C100443,Paid Ads,385,1,304.05999999999995,Hibernating / Lost
C100444,Social,336,1,168.19,Hibernating / Lost
C100445,Email,103,3,2564.76,Champions
C100446,Paid Ads,497,2,974.6,At Risk
C100447,Paid Ads,51,2,472.72,Loyal Regulars
C100448,Paid Ads,277,5,704.66,Champions
C100449,Organic Search,416,3,743.29,At Risk
C100450,Referral,7,5,1374.56,Loyal Regulars
C100452,Organic Search,235,2,892.77,At Risk
C100453,Organic Search,367,1,118.10000000000001,Hibernating / Lost
C100454,Referral,252,2,3000.43,At Risk
C100455,Organic Search,18,4,2360.74,Loyal Regulars
C100460,Email,178,3,5297.37,Champions
C100461,Paid Ads,25,2,2241.72,Loyal Regulars
C100462,Email,170,1,273.72,Hibernating / Lost
C100463,Organic Search,227,1,627.1,At Risk
C100466,Organic Search,614,1,651.81,At Risk
C100468,Organic Search,44,2,506.61,Loyal Regulars
C100470,Organic Search,155,3,1407.3999999999999,Champions
C100472,Paid Ads,271,1,235.14,Hibernating / Lost
C100473,Referral,350,3,1626.76,Champions
C100475,Organic Search,74,3,2401.18,Champions
C100476,Email,222,1,1489.35,At Risk
C100477,Referral,616,3,414.5,At Risk
C100478,Email,256,2,351.26000000000005,At Risk
C100479,Paid Ads,230,2,1173.94,At Risk
C100480,Paid Ads,378,1,30.04,Hibernating / Lost
C100482,Paid Ads,573,1,120.03999999999999,Hibernating / Lost
C100483,Social,53,2,377.44,Loyal Regulars
C100484,Social,442,1,129.35999999999999,Hibernating / Lost
C100485,Organic Search,383,2,793.92,At Risk
C100486,Email,332,3,1439.5800000000002,Champions
C100488,Social,164,2,1280.75,At Risk
C100489,Organic Search,149,1,154.44,Hibernating / Lost
C100490,Social,2,2,556.87,Loyal Regulars
C100491,Referral,169,1,153.77,Hibernating / Lost
C100492,Organic Search,53,2,1428.74,Loyal Regulars
C100493,Organic Search,194,3,1266.72,Champions
C100494,Referral,495,2,456.10999999999996,At Risk
C100495,Organic Search,81,2,1138.29,At Risk
C100496,Paid Ads,201,5,992.2,Champions
C100499,Paid Ads,74,1,1213.3899999999999,At Risk
C100501,Organic Search,187,2,1903.52,At Risk
C100502,Social,148,1,552.41,At Risk
C100503,Organic Search,150,1,393.92999999999995,Hibernating / Lost
C100504,Organic Search,483,2,1579.0299999999997,At Risk
C100505,Organic Search,155,3,767.8,Champions
C100506,Social,37,3,1714.78,Loyal Regulars
C100507,Organic Search,602,1,177.92999999999998,Hibernating / Lost
C100508,Referral,76,10,4034.2999999999997,Champions
C100509,Email,353,1,798.9599999999999,At Risk
C100510,Referral,55,2,968.37,Loyal Regulars
C100512,Referral,176,2,779.3800000000001,At Risk
C100513,Social,46,4,2596.9,Loyal Regulars
C100514,Organic Search,89,1,255.66,Hibernating / Lost
C100515,Referral,565,2,1108.42,At Risk
C100516,Paid Ads,3,2,766.29,Loyal Regulars
C100517,Paid Ads,685,1,1399.59,At Risk
C100518,Referral,177,9,4680.95,Champions
C100520,Email,231,8,3146.64,Champions
C100521,Paid Ads,411,3,1158.3700000000001,Champions
C100522,Paid Ads,3,3,1095.06,Loyal Regulars
C100524,Paid Ads,490,2,2687.5,At Risk
C100525,Paid Ads,157,1,136.5,Hibernating / Lost
C100526,Organic Search,110,1,26.76,Hibernating / Lost
C100528,Referral,149,1,425.03,At Risk
C100531,Email,588,1,201.44,Hibernating / Lost
C100533,Organic Search,233,3,1462.49,Champions
C100535,Social,35,3,958.16,Loyal Regulars
C100536,Organic Search,28,7,4820.61,Loyal Regulars
C100537,Paid Ads,358,3,1483.57,Champions
C100540,Organic Search,221,2,831.33,At Risk
C100541,Organic Search,651,1,4322.2,At Risk
C100542,Organic Search,238,1,316.09000000000003,Hibernating / Lost
C100544,Organic Search,101,3,411.98,At Risk
C100545,Paid Ads,83,2,954.0600000000001,At Risk
C100546,Social,35,2,1888.18,Loyal Regulars
C100548,Email,113,2,822.58,At Risk
C100549,Organic Search,312,1,461.43,At Risk
C100551,Email,403,1,528.51,At Risk
C100553,Social,481,3,1505.73,Champions
C100554,Paid Ads,124,1,208.61,Hibernating / Lost
C100555,Organic Search,207,2,810.74,At Risk
C100560,Referral,370,2,1065.08,At Risk
C100561,Paid Ads,651,1,625.97,At Risk
C100562,Organic Search,9,2,1111.06,Loyal Regulars
C100563,Paid Ads,414,1,104.4,Hibernating / Lost
C100564,Email,134,3,1281.5500000000002,Champions
C100566,Paid Ads,588,2,600.53,At Risk
C100567,Organic Search,173,10,6413.0,Champions
C100569,Organic Search,156,2,933.1700000000001,At Risk
C100572,Organic Search,381,5,2184.56,Champions
C100573,Paid Ads,408,3,3896.39,Champions
C100574,Paid Ads,500,2,683.02,At Risk
C100575,Paid Ads,46,6,4358.53,Champions
C100576,Paid Ads,55,1,969.95,At Risk
C100577,Social,222,3,1911.1,Champions
C100579,Paid Ads,391,1,593.5,At Risk
C100580,Paid Ads,595,1,264.7,Hibernating / Lost
C100581,Organic Search,63,4,3054.9700000000003,Champions
C100582,Paid Ads,550,3,306.78999999999996,At Risk
C100584,Email,416,3,5382.570000000001,Champions
C100586,Social,142,3,1235.8000000000002,Champions
C100588,Referral,23,4,1230.72,Loyal Regulars
C100589,Paid Ads,20,2,415.41,Loyal Regulars
C100590,Organic Search,34,3,1172.69,Loyal Regulars
C100592,Email,409,4,1365.32,Champions
C100594,Paid Ads,46,1,539.51,At Risk
C100595,Email,5,4,2571.47,Loyal Regulars
C100596,Referral,137,5,3506.55,Champions
C100597,Email,87,4,4224.75,Champions
C100598,Paid Ads,223,2,1898.33,At Risk
C100600,Email,124,1,102.78,Hibernating / Lost
C100601,Social,207,1,1477.23,At Risk
C100602,Paid Ads,211,1,1459.41,At Risk
C100603,Paid Ads,649,1,904.0999999999999,At Risk
C100604,Referral,238,1,1138.6,At Risk
C100605,Paid Ads,418,1,1072.29,At Risk
C100606,Email,228,2,888.55,At Risk
C100607,Paid Ads,114,1,13.77,Hibernating / Lost
C100608,Organic Search,47,3,3281.1899999999996,Loyal Regulars
C100610,Organic Search,10,4,437.53000000000003,Loyal Regulars
C100611,Organic Search,435,2,623.28,At Risk
C100612,Email,48,2,62.56,Hibernating / Lost
C100613,Email,400,3,1720.51,Champions
C100614,Referral,7,4,1243.76,Loyal Regulars
C100615,Organic Search,56,1,208.2,Hibernating / Lost
C100617,Social,44,1,35.48,Hibernating / Lost
C100618,Organic Search,631,1,1761.96,At Risk
C100619,Organic Search,259,3,1164.46,Champions
C100620,Organic Search,159,2,458.87,At Risk
C100621,Paid Ads,386,3,961.45,Champions
C100622,Referral,46,2,442.34,Loyal Regulars
C100624,Email,38,2,1340.69,Loyal Regulars
C100628,Organic Search,147,2,484.46,At Risk
C100629,Organic Search,373,1,248.95,Hibernating / Lost
C100630,Organic Search,239,1,467.03,At Risk
C100633,Email,330,3,2871.47,Champions
C100634,Organic Search,301,3,1419.5,Champions
C100635,Paid Ads,303,1,218.75,Hibernating / Lost
C100636,Referral,405,4,3968.59,Champions
C100637,Email,282,2,894.6545,At Risk
C100639,Paid Ads,180,1,635.4,At Risk
C100640,Referral,56,3,944.5999999999999,Loyal Regulars
C100641,Organic Search,168,2,2118.66,At Risk
C100642,Paid Ads,47,2,1659.98,Loyal Regulars
C100644,Paid Ads,17,2,721.64,Loyal Regulars
C100645,Paid Ads,514,3,3916.0800000000004,Champions
C100646,Organic Search,383,1,435.68,At Risk
C100647,Referral,194,5,965.19,Champions
C100650,Organic Search,210,2,394.91,At Risk
C100651,Paid Ads,93,1,430.67,At Risk
C100653,Paid Ads,94,2,252.46000000000004,Hibernating / Lost
C100654,Organic Search,9,5,1183.7,Loyal Regulars
C100655,Referral,412,1,851.62,At Risk
C100656,Social,204,2,127.56,Hibernating / Lost
C100657,Paid Ads,298,1,378.84999999999997,At Risk
C100658,Email,613,2,449.53,At Risk
C100659,Referral,173,4,2455.9300000000003,Champions
C100660,Social,195,7,6151.7,Champions
C100661,Email,142,1,535.45,At Risk
C100662,Referral,86,1,168.44,Hibernating / Lost
C100663,Social,281,4,1435.55,Champions
C100664,Referral,189,4,2469.9199999999996,Champions
C100665,Paid Ads,194,1,229.01000000000002,Hibernating / Lost
C100666,Organic Search,99,4,2690.44,Champions
C100667,Organic Search,184,1,462.91999999999996,At Risk
C100668,Paid Ads,34,1,169.32,Hibernating / Lost
C100670,Paid Ads,105,3,2072.96,Champions
C100672,Paid Ads,305,2,1103.43,At Risk
C100673,Referral,73,1,167.75,Hibernating / Lost
C100674,Organic Search,229,1,774.42,At Risk
C100676,Referral,261,2,1061.65,At Risk
C100677,Referral,22,1,2898.5,Loyal Regulars
C100678,Social,371,2,2133.0600000000004,At Risk
C100679,Referral,26,1,474.6,Loyal Regulars
C100680,Referral,102,1,318.21999999999997,Hibernating / Lost
C100681,Organic Search,431,2,688.84,At Risk
C100682,Paid Ads,28,3,2722.62,Loyal Regulars
C100683,Organic Search,53,2,1148.6200000000001,Loyal Regulars
C100686,Paid Ads,225,1,568.32,At Risk
C100687,Paid Ads,322,2,309.59000000000003,At Risk
C100688,Organic Search,95,3,2237.29,Champions
C100689,Organic Search,158,1,25.76,Hibernating / Lost
C100692,Social,103,1,717.54,At Risk
C100694,Referral,92,10,4552.21,Champions
C100696,Organic Search,166,1,325.62,Hibernating / Lost
C100697,Organic Search,251,2,610.0999999999999,At Risk
C100698,Referral,660,2,1387.4299999999998,At Risk
C100702,Email,600,2,1667.57,At Risk
C100703,Referral,570,2,790.87,At Risk
C100704,Organic Search,198,3,1753.94,Champions
C100705,Organic Search,381,1,1660.0000000000002,At Risk
C100706,Social,653,4,2564.47,Champions
C100707,Organic Search,331,2,2318.04,At Risk
C100708,Paid Ads,406,1,8.48,Hibernating / Lost
C100709,Paid Ads,387,1,501.71000000000004,At Risk
C100711,Referral,49,3,1901.97,Loyal Regulars
C100712,Referral,67,2,3194.35,Loyal Regulars
C100713,Paid Ads,271,1,413.84000000000003,At Risk
C100714,Referral,49,3,2470.357,Loyal Regulars
C100715,Organic Search,2,3,1461.4,Loyal Regulars
C100717,Paid Ads,430,1,1182.5400000000002,At Risk
C100718,Social,418,1,616.79,At Risk
C100720,Organic Search,531,4,7068.3,Champions
C100721,Paid Ads,128,2,1341.58,At Risk
C100722,Referral,173,1,1590.97,At Risk
C100724,Paid Ads,218,2,743.38,At Risk
C100725,Email,15,3,2972.75,Loyal Regulars
C100727,Organic Search,255,1,142.88,Hibernating / Lost
C100730,Paid Ads,299,1,159.89999999999998,Hibernating / Lost
C100731,Referral,74,2,1281.32,At Risk
C100733,Email,43,4,1192.0,Loyal Regulars
C100734,Social,599,1,81.22999999999999,Hibernating / Lost
C100737,Social,523,1,268.71,Hibernating / Lost
C100738,Organic Search,130,1,616.94,At Risk
C100739,Email,144,2,1048.8400000000001,At Risk
C100740,Referral,7,2,3979.11,Loyal Regulars
C100743,Organic Search,11,3,1987.29,Loyal Regulars
C100744,Organic Search,231,1,29.37,Hibernating / Lost
C100747,Referral,174,3,2658.12,Champions
C100749,Referral,33,4,1563.72,Loyal Regulars
C100750,Organic Search,16,2,445.54999999999995,Loyal Regulars
C100751,Organic Search,388,4,640.9200000000001,Champions
C100752,Organic Search,111,4,899.38,Champions
